"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL111271"	""	"None"	"508.59"	"2"	"6.98"	"25"	"CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"11.64"	"0.22"	"-1.06"	"7.98"	"0"	"CHEMBL759451"	"In vitro binding affinity for human peroxisome proliferator activated receptor gamma using scintillation proximity assay (SPA)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149176"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""	"1.2"
"CHEMBL121106"	""	"None"	"357.44"	"0"	"2.49"	"1a"	"CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1"	"IC50"	"'='"	"30.0"	"nM"	"7.52"	""	""	"UO_0000065"	"21.05"	"0.41"	"5.03"	"10.52"	"0"	"CHEMBL762531"	"Initial binding affinity against PPAR-gamma receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130725"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""	"0.03"
"CHEMBL121106"	""	"None"	"357.44"	"0"	"2.49"	"1a"	"CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1"	"IC50"	"'='"	"60.0"	"nM"	"7.22"	""	""	"UO_0000065"	"20.20"	"0.39"	"4.73"	"10.10"	"0"	"CHEMBL762530"	"Final binding affinity against PPAR-gamma receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130725"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""	"0.06"
"CHEMBL360368"	""	"None"	"436.50"	"1"	"5.36"	"1d"	"CCO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O"	"EC50"	"'='"	"282.0"	"nM"	"6.55"	""	""	"UO_0000065"	"15.01"	"0.28"	"1.19"	"8.82"	"0"	"CHEMBL829298"	"Mean effective concentration against human peroxisome proliferator-activated receptor gamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145231"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"282.0"
"CHEMBL178321"	""	"None"	"433.89"	"1"	"5.59"	"8"	"COc1ccc2c(c1)c(Cc1ccc(C(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1"	"EC50"	""	""	"nM"	""	""	"Not Determined"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL835629"	"In vitro maximal activation of human Peroxisome proliferator activated receptor gamma in COS-1 cell transactivation assay; Not done"	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"COS-1"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142834"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"CHEMBL3308351"	""	""	""	""
"CHEMBL104246"	""	"None"	"436.51"	"0"	"3.60"	"4c"	"Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)N2CCOCC2)cc1"	"EC50"	"'='"	"24.0"	"nM"	"7.62"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL761655"	"Maximal reporter activity against human Peroxisome proliferator activated receptor gamma Gal4 chimeric in transiently transfected CV-1 cells by functional assay."	"F"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"CV-1"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133869"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3308033"	""	""	""	"24.0"
"CHEMBL66206"	""	"None"	"381.43"	"0"	"4.51"	"6"	"Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(C)C(=O)O)cc1"	"EC50"	"'='"	"2059.0"	"nM"	"5.69"	""	""	"UO_0000065"	"14.91"	"0.28"	"1.18"	"6.95"	"0"	"CHEMBL824656"	"Binding affinity at human PPAR gamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134506"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""	"2059.0"
"CHEMBL194698"	""	"None"	"332.44"	"0"	"4.03"	"14a"	"CCCCCOc1ccccc1C(O)CC#CCCCC(=O)OC"	"EC50"	"'='"	"642.0"	"nM"	"6.19"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL883721"	"In vitro effective concentration against human peroxisome proliferator activated receptor gamma/Gal4 in cell-based transactivation assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142837"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""	""	"642.0"
"CHEMBL381477"	""	"None"	"486.97"	"1"	"7.16"	"19"	"CCCC(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O"	"IC50"	""	""	""	""	""	"Not Active"	""	""	""	""	""	"0"	"CHEMBL867229"	"Binding affinity to human PPAR gamma"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139027"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""	""
"CHEMBL2037081"	""	"None"	"486.49"	"1"	"6.09"	"70"	"Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1Cn1ccc2cc(C[C@@H](OC(C)C)C(=O)O)ccc21"	"IC50"	"'='"	"139.0"	"nM"	"6.86"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2038597"	"Agonist activity at PPARgamma"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL235"	"Peroxisome proliferator-activated receptor gamma"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2034870"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2012"	"None"	""	""	""	"6.857"
